,pair,period,signal,date
0,SPX,daily,Strong Sell,2022-03-04 06:31:00-08:00
1,SPX,weekly,Strong Sell,2022-03-04 06:31:00-08:00
2,DJA,daily,Strong Sell,2022-03-04 06:31:00-08:00
3,DJA,weekly,Strong Sell,2022-03-04 06:31:00-08:00
4,SPX,daily,Strong Sell,2022-03-07 06:30:00-08:00
5,SPX,weekly,Strong Sell,2022-03-07 06:30:00-08:00
6,DJA,daily,Strong Sell,2022-03-07 06:30:00-08:00
7,DJA,weekly,Strong Sell,2022-03-07 06:30:00-08:00
8,SPX,daily,Strong Sell,2022-03-09 06:30:00-08:00
9,SPX,weekly,Strong Sell,2022-03-09 06:30:00-08:00
10,DJA,daily,Strong Sell,2022-03-09 06:30:00-08:00
11,DJA,weekly,Strong Sell,2022-03-09 06:30:00-08:00
12,SPX,daily,Strong Sell,2022-03-10 06:30:00-08:00
13,SPX,weekly,Strong Sell,2022-03-10 06:30:00-08:00
14,DJA,daily,Strong Sell,2022-03-10 06:30:00-08:00
15,DJA,weekly,Strong Sell,2022-03-10 06:30:00-08:00
16,SPX,daily,Strong Sell,2022-03-11 06:31:00-08:00
17,SPX,weekly,Strong Sell,2022-03-11 06:31:00-08:00
18,DJA,daily,Strong Sell,2022-03-11 06:31:00-08:00
19,DJA,weekly,Strong Sell,2022-03-11 06:31:00-08:00
20,SPX,daily,Strong Sell,2022-03-14 06:30:00-07:00
21,SPX,weekly,Strong Sell,2022-03-14 06:30:00-07:00
22,DJA,daily,Strong Sell,2022-03-14 06:30:00-07:00
23,DJA,weekly,Strong Sell,2022-03-14 06:30:00-07:00
24,SPX,daily,Strong Sell,2022-03-15 06:31:00-07:00
25,SPX,weekly,Strong Sell,2022-03-15 06:31:00-07:00
26,DJA,daily,Sell,2022-03-15 06:31:00-07:00
27,DJA,weekly,Strong Sell,2022-03-15 06:31:00-07:00
28,SPX,daily,Neutral,2022-03-16 06:32:00-07:00
29,SPX,weekly,Strong Sell,2022-03-16 06:32:00-07:00
30,DJA,daily,Neutral,2022-03-16 06:32:00-07:00
31,DJA,weekly,Sell,2022-03-16 06:32:00-07:00
SPX,daily,Strong Buy,2022-03-18 06:34:00-07:00
SPX,weekly,Neutral,2022-03-18 06:34:00-07:00
DJA,daily,Buy,2022-03-18 06:34:00-07:00
DJA,weekly,Neutral,2022-03-18 06:34:00-07:00
SPX,daily,Strong Buy,2022-03-22 06:34:00-07:00
SPX,weekly,Neutral,2022-03-22 06:34:00-07:00
DJA,daily,Strong Buy,2022-03-22 06:34:00-07:00
DJA,weekly,Neutral,2022-03-22 06:34:00-07:00
SPX,daily,Strong Buy,2022-03-23 06:34:00-07:00
SPX,weekly,Neutral,2022-03-23 06:34:00-07:00
DJA,daily,Strong Buy,2022-03-23 06:34:00-07:00
DJA,weekly,Neutral,2022-03-23 06:34:00-07:00
SPX,daily,Strong Buy,2022-03-24 06:34:00-07:00
SPX,weekly,Neutral,2022-03-24 06:34:00-07:00
DJA,daily,Strong Buy,2022-03-24 06:34:00-07:00
DJA,weekly,Neutral,2022-03-24 06:34:00-07:00
SPX,daily,Strong Buy,2022-03-28 06:34:00-07:00
SPX,weekly,Strong Buy,2022-03-28 06:34:00-07:00
DJA,daily,Strong Buy,2022-03-28 06:34:00-07:00
DJA,weekly,Strong Buy,2022-03-28 06:34:00-07:00
SPX,daily,Strong Buy,2022-03-29 06:34:00-07:00
SPX,weekly,Strong Buy,2022-03-29 06:34:00-07:00
DJA,daily,Strong Buy,2022-03-29 06:34:00-07:00
DJA,weekly,Strong Buy,2022-03-29 06:34:00-07:00
SPX,daily,Strong Buy,2022-03-30 06:34:00-07:00
SPX,weekly,Strong Buy,2022-03-30 06:34:00-07:00
DJA,daily,Strong Buy,2022-03-30 06:34:00-07:00
DJA,weekly,Strong Buy,2022-03-30 06:34:00-07:00
SPX,daily,Strong Buy,2022-03-31 06:34:00-07:00
SPX,weekly,Strong Buy,2022-03-31 06:34:00-07:00
DJA,daily,Strong Buy,2022-03-31 06:34:00-07:00
DJA,weekly,Strong Buy,2022-03-31 06:34:00-07:00
SPX,daily,Strong Buy,2022-04-01 06:34:00-07:00
SPX,weekly,Strong Buy,2022-04-01 06:34:00-07:00
DJA,daily,Strong Buy,2022-04-01 06:34:00-07:00
DJA,weekly,Strong Buy,2022-04-01 06:34:00-07:00
